Bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
230.0,345.0,0.0,250.0,-250.0,1.04,100.0,1.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,300.0,0.0,500.0,-500.0,1.0,100.0,1.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,600.0,0.0,300.0,-300.0,1.0165,100.0,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,250.0,0.0,200.0,-200.0,1.01,100.0,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239.0,550.0,0.0,400.0,-400.0,1.0,100.0,1.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,575.43,0.0,600.0,-600.0,1.05,100.0,1.0,675.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.0,170.0,0.0,100.0,40.0,0.993,100.0,1.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,84.0,0.0,80.0,40.0,1.01,100.0,1.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001.0,467.0,0.0,210.0,-210.0,1.0507,100.0,1.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7002.0,623.0,0.0,280.0,-280.0,1.0507,100.0,1.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7003.0,1210.0,0.0,420.0,-420.0,1.0323,100.0,1.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7011.0,234.0,0.0,100.0,-100.0,1.0145,100.0,1.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7012.0,372.0,0.0,224.0,-224.0,1.0507,100.0,1.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7017.0,330.0,0.0,350.0,0.0,1.0507,100.0,1.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7023.0,185.0,0.0,120.0,0.0,1.0507,100.0,1.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7024.0,410.0,0.0,224.0,-224.0,1.029,100.0,1.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7039.0,500.0,0.0,200.0,-200.0,1.05,100.0,1.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7044.0,37.0,0.0,42.0,0.0,1.0145,100.0,1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7049.0,0.0,0.0,10.0,0.0,1.0507,100.0,1.0,2399.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7055.0,45.0,0.0,25.0,0.0,0.9967,100.0,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7057.0,165.0,0.0,90.0,-90.0,1.0212,100.0,1.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7061.0,400.0,0.0,150.0,-150.0,1.0145,100.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7062.0,400.0,0.0,150.0,0.0,1.0017,100.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7071.0,116.0,0.0,87.0,0.0,0.9893,100.0,1.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7130.0,1292.0,0.0,600.0,-100.0,1.0507,100.0,1.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7139.0,700.0,0.0,325.0,-125.0,1.0507,100.0,1.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7166.0,553.0,0.0,300.0,-200.0,1.0145,100.0,1.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9002.0,0.0,0.0,2.0,-2.0,0.9945,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9051.0,0.0,0.0,17.35,-17.35,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9053.0,0.0,0.0,12.83,-12.8,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9054.0,50.0,0.0,38.0,-38.0,1.0,100.0,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9055.0,8.0,0.0,6.0,-6.0,1.0,100.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
