bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
214.0,1.0,22.0,16.0,0.0,0.0,1.0,0.9919,-17.53,138.0,3.0,1.06,0.94
215.0,1.0,47.0,26.0,0.0,0.0,1.0,0.9866,-20.23,138.0,3.0,1.06,0.94
216.0,1.0,176.0,105.0,0.0,0.0,1.0,0.9751,-22.53,138.0,3.0,1.06,0.94
217.0,1.0,100.0,75.0,0.0,0.0,1.0,1.0215,-22.2,138.0,3.0,1.06,0.94
218.0,1.0,131.0,96.0,0.0,0.0,1.0,1.0075,-22.63,138.0,3.0,1.06,0.94
219.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0554,-21.15,345.0,3.0,1.06,0.94
220.0,2.0,285.0,100.0,0.0,0.0,1.0,1.008,-21.73,138.0,3.0,1.06,0.94
221.0,2.0,171.0,70.0,0.0,0.0,1.0,1.0,-22.49,138.0,3.0,1.06,0.94
222.0,2.0,328.0,188.0,0.0,0.0,1.0,1.05,-23.17,20.0,3.0,1.06,0.94
223.0,1.0,428.0,232.0,0.0,0.0,1.0,0.9965,-22.7,138.0,3.0,1.06,0.94
224.0,1.0,173.0,99.0,0.0,0.0,1.0,1.0002,-21.55,230.0,3.0,1.06,0.94
225.0,1.0,410.0,40.0,0.0,0.0,1.0,0.9453,-11.34,230.0,3.0,1.06,0.94
226.0,1.0,0.0,0.0,0.0,0.0,1.0,1.018,-21.61,230.0,3.0,1.06,0.94
227.0,2.0,538.0,369.0,0.0,0.0,1.0,1.0,-27.22,27.0,3.0,1.06,0.94
228.0,1.0,223.0,148.0,0.0,0.0,1.0,1.0423,-20.94,138.0,3.0,1.06,0.94
229.0,1.0,96.0,46.0,0.0,0.0,1.0,1.0496,-19.94,138.0,3.0,1.06,0.94
230.0,2.0,0.0,0.0,0.0,0.0,1.0,1.04,-13.82,20.0,3.0,1.06,0.94
231.0,1.0,159.0,107.0,0.0,-300.0,1.0,1.0535,-21.22,345.0,3.0,1.06,0.94
232.0,1.0,448.0,143.0,0.0,0.0,1.0,1.0414,-23.19,138.0,3.0,1.06,0.94
233.0,2.0,404.0,212.0,0.0,0.0,1.0,1.0,-25.9,66.0,3.0,1.06,0.94
234.0,1.0,572.0,244.0,0.0,0.0,1.0,1.0387,-20.89,138.0,3.0,1.06,0.94
235.0,1.0,269.0,157.0,0.0,0.0,1.0,1.0095,-21.03,138.0,3.0,1.06,0.94
236.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0165,-15.4,20.0,3.0,1.06,0.94
237.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0558,-21.1,345.0,3.0,1.06,0.94
238.0,2.0,255.0,149.0,0.0,-150.0,1.0,1.01,-20.94,138.0,3.0,1.06,0.94
239.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-15.86,138.0,3.0,1.06,0.94
240.0,1.0,0.0,0.0,0.0,-140.0,1.0,1.0237,-20.14,230.0,3.0,1.06,0.94
241.0,2.0,0.0,0.0,0.0,0.0,1.0,1.05,-16.5,20.0,3.0,1.06,0.94
242.0,2.0,0.0,0.0,0.0,0.0,1.0,0.993,-17.53,138.0,3.0,1.06,0.94
243.0,2.0,8.0,3.0,0.0,0.0,1.0,1.01,-19.27,66.0,3.0,1.06,0.94
244.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9921,-20.21,66.0,3.0,1.06,0.94
245.0,1.0,61.0,30.0,0.0,0.0,1.0,0.9711,-20.9,66.0,3.0,1.06,0.94
246.0,1.0,77.0,33.0,0.0,0.0,1.0,0.9651,-21.74,66.0,3.0,1.06,0.94
247.0,1.0,61.0,30.0,0.0,0.0,1.0,0.9688,-21.67,66.0,3.0,1.06,0.94
248.0,1.0,29.0,14.0,0.0,45.6,1.0,0.976,-25.23,66.0,3.0,1.06,0.94
249.0,1.0,29.0,14.0,0.0,0.0,1.0,0.9752,-25.65,66.0,3.0,1.06,0.94
250.0,1.0,-23.0,-17.0,0.0,0.0,1.0,1.0196,-23.8,66.0,3.0,1.06,0.94
281.0,1.0,-33.1,-29.4,0.0,0.0,1.0,1.0251,-20.06,230.0,3.0,1.06,0.94
319.0,1.0,115.8,-24.0,0.0,0.0,1.0,1.0152,1.48,230.0,1.0,1.06,0.94
320.0,1.0,2.4,-12.6,0.0,0.0,1.0,1.0146,-2.23,115.0,1.0,1.06,0.94
322.0,1.0,2.4,-3.9,0.0,0.0,1.0,1.0005,-17.61,115.0,1.0,1.06,0.94
323.0,1.0,-14.9,26.5,0.0,0.0,1.0,0.981,-13.69,230.0,1.0,1.06,0.94
324.0,1.0,24.7,-1.2,0.0,0.0,1.0,0.975,-23.42,115.0,1.0,1.06,0.94
526.0,1.0,145.3,-34.9,0.0,0.0,1.0,0.9429,-34.31,115.0,1.0,1.06,0.94
528.0,1.0,28.1,-20.5,0.0,0.0,1.0,0.9723,-37.58,115.0,1.0,1.06,0.94
531.0,1.0,14.0,2.5,0.0,0.0,1.0,0.9604,-29.1,115.0,1.0,1.06,0.94
552.0,1.0,-11.1,-1.4,0.0,0.0,1.0,1.0009,-23.36,115.0,1.0,1.06,0.94
562.0,1.0,50.5,17.4,0.0,0.0,1.0,0.9777,-28.0,230.0,1.0,1.06,0.94
609.0,1.0,29.6,0.6,0.0,0.0,1.0,0.9583,-28.79,115.0,1.0,1.06,0.94
664.0,1.0,-113.7,76.7,0.0,0.0,1.0,1.0309,-17.0,345.0,3.0,1.06,0.94
1190.0,1.0,100.31,29.17,0.0,0.0,1.0,1.0128,3.9,86.0,2.0,1.06,0.94
1200.0,1.0,-100.0,34.17,0.0,0.0,1.0,1.0244,-7.52,86.0,2.0,1.06,0.94
1201.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0122,-15.18,115.0,2.0,1.06,0.94
2040.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9653,-14.94,115.0,3.0,1.06,0.94
7001.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,10.79,13.8,1.0,1.06,0.94
7002.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,12.48,13.8,1.0,1.06,0.94
7003.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0323,13.76,13.8,1.0,1.06,0.94
7011.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0145,4.99,13.8,1.0,1.06,0.94
7012.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,11.57,13.8,1.0,1.06,0.94
7017.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,-10.47,13.8,1.0,1.06,0.94
7023.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,6.15,13.8,1.0,1.06,0.94
7024.0,2.0,0.0,0.0,0.0,0.0,1.0,1.029,12.6,13.8,1.0,1.06,0.94
7039.0,2.0,0.0,0.0,0.0,0.0,1.0,1.05,2.11,20.0,1.0,1.06,0.94
7044.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0145,-13.92,13.8,1.0,1.06,0.94
7049.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0507,0.0,13.8,1.0,1.06,0.94
7055.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9967,-7.5,13.8,1.0,1.06,0.94
